[2026-05-23 11:14:07] | Vessel: 2          | DWT: 222222  | Status: NEO-PANAMAX         | Fee: $    25,000
[2026-05-23 11:14:12] | Vessel: 3          | DWT: 222222  | Status: NEO-PANAMAX         | Fee: $    25,000
[2026-05-28 09:22:17] | Vessel: Atlantic   | DWT: 12000   | Status: STANDARD            | Fee: $     4,000
[2026-05-28 09:22:17] | Vessel: Viking     | DWT: 95000   | Status: PREMIUM             | Fee: $    12,000
[2026-05-28 09:22:17] | Vessel: Goliath    | DWT: 135000  | Status: PREMIUM             | Fee: $    12,000
[2026-05-28 09:22:17] | Vessel: Pacific    | DWT: 55000   | Status: PREMIUM             | Fee: $    12,000
[2026-06-05 16:23:39] | Vessel: test1      | DWT: 99999   | Status: NEO-PANAMAX         | Fee: $    25,000
[2026-06-21 10:33:55] | Vessel: Atlantic   | DWT: 12000   | Status: STANDARD            | Fee: $     3,000
[2026-06-21 10:33:55] | Vessel: Viking     | DWT: 95000   | Status: PREMIUM             | Fee: $    12,000
[2026-06-21 10:33:55] | Vessel: Goliath    | DWT: 135000  | Status: PREMIUM             | Fee: $    12,000
[2026-06-21 10:33:55] | Vessel: Pacific    | DWT: 55000   | Status: PREMIUM             | Fee: $    12,000
[2026-06-21 10:34:06] | Vessel: wwww       | DWT: 22222   | Status: STANDARD            | Fee: $     3,000
